year,date,spot,BOD,COD,T_N,T_P,TOC,SS,EC,pH,DO,temperature,turbidity,transparency,Chl_a,dominant
2017,170103,T1,1,3.1,1.239,0.05,2.4,3.4,125,7.5,10.5,8.7,1.8,3,3.3,diatom
2017,170110,T1,0.9,3.1,1.307,0.045,2.5,1.6,138,6.6,10.8,7.6,2.7,2.7,5.3,diatom
2017,170117,T1,1.4,3.4,1.313,0.074,2.5,8.7,132,6.7,11.8,7.2,0.9,2.8,6.4,diatom
2017,170124,T1,1.4,3.4,1.313,0.074,2.5,8.7,132,7.1,11.3,5.1,1.4,3.8,6.7,diatom
2017,170131,T1,1.4,3.4,1.313,0.074,2.5,8.7,132,6.7,11.8,5.3,2.4,3.1,5.9,diatom
2017,170206,T1,1.2,3.7,1.333,0.054,2.9,4.7,132,7,12.3,5.6,2.4,3.2,6.6,diatom
2017,170214,T1,1.5,4.5,1.142,0.066,3.3,11.6,122,7.2,12.9,4.9,1.2,3.2,7.1,diatom
2017,170220,T1,1.4,3.6,1.588,0.13,2.8,3.6,123,7.2,12.7,4.7,1.9,2.8,7.1,diatom
2017,170228,T1,1.6,4.1,1.131,0.07,2.7,5,124,7.1,12.3,6,2,3.5,8.9,diatom
2017,170307,T1,1,3.7,0.863,0.039,2.7,2.7,105,7,12,5.7,2.5,2.8,7.7,diatom
2017,170314,T1,1.4,4.2,0.927,0.053,3.2,5.2,103,6.9,10.8,8.5,1.4,3.7,7,diatom
2017,170321,T1,2.2,4.5,1.255,0.07,3.7,7.9,176,7,11.9,8.2,1.7,3.8,7.3,diatom
2017,170328,T1,1.3,3.9,1.19,0.061,2.8,4.2,107,7.2,11.3,9,1.9,3.2,6.3,diatom
2017,170404,T1,2.7,5.2,1.235,0.083,4,14.5,130,7,11.2,11.1,4.1,3.8,4.5,diatom
2017,170411,T1,1.7,4.1,1.562,0.089,3,8.7,125,7.1,11,11.6,1.5,3.2,6,diatom
2017,170418,T1,2.5,5.4,1.573,0.097,3.9,8.8,155,7.1,11,11.7,1.2,2.8,4.5,diatom
2017,170425,T1,1.8,4.4,0.973,0.061,3.2,6.3,137,7.3,11.2,12.8,1,3.2,6.7,diatom
2017,170502,T1,3,5.1,1.226,0.073,3.5,6.2,144,7.3,12.3,12.7,2.2,2.5,10.7,diatom
2017,170510,T1,2.9,6.1,1.496,0.084,4.8,11.6,154,7.2,13,14.2,1.2,4,8.6,diatom
2017,170516,T1,2,6.6,1.162,0.062,4.8,5.2,178,7.3,10.7,15.9,1.1,3.9,5.1,diatom
2017,170523,T1,2.4,7.1,1.517,0.085,5.6,4.1,159,7.3,10,14.9,1.5,3.2,2.6,diatom
2017,170530,T1,2.4,7.1,1.517,0.085,5.6,4.1,159,7.5,9.1,18,1.9,2.9,5.7,diatom
2017,170607,T1,3.1,6.6,1.544,0.076,5.4,7.7,132,7.3,8,14.1,4.8,2.2,4.8,diatom
2017,170613,T1,1.7,6.3,1.289,0.061,5.1,6.3,122,7.6,8.1,18.3,5.6,2.8,3.5,diatom
2017,170620,T1,1.7,6.5,0.991,0.071,5.1,6.8,110,7.4,7.8,17.7,1.3,3,4.3,diatom
2017,170627,T1,1.9,8.1,1.532,0.074,6.4,9.2,111,7.3,7.3,16,1.8,3.2,3,diatom
2017,170704,T1,2.3,11.7,1.853,0.158,6.7,57.3,92,7,7,18.3,1.9,3.1,3.1,blue
2017,170712,T1,1.2,4.7,1.314,0.065,3.6,9.5,152,7,6.6,18.3,2,3,2.9,blue
2017,170718,T1,1.1,5.1,1.203,0.068,3.9,7.4,138,7.2,6.9,18.7,2.2,3.1,2.1,green
2017,170724,T1,1.1,4.9,1.007,0.069,3.8,4.8,158,7.1,6.9,19.7,2.4,4,1.9,green
2017,170801,T1,1.1,4.8,0.969,0.067,4,1.3,147,7.6,6.3,20.5,1.7,3,3.8,green
2017,170808,T1,0.8,4.6,1.575,0.088,3.4,4.3,155,7.1,7,23.4,4.6,2.8,3.5,green
2017,170816,T1,1,5.3,1.26,0.091,3.9,8.4,119,7,5.9,16.7,2.3,2.7,4.1,green
2017,170822,T1,0.8,4.2,0.853,0.059,3.3,2.6,150,6.7,5.9,17.8,4,2.8,4.5,green
2017,170828,T1,0.8,4.2,0.853,0.059,3.3,2.6,150,6.8,6,18,2.9,2.6,3.2,green
2017,170904,T1,1.2,4.4,1.344,0.054,3.5,3.6,169,6.9,7.1,19.8,2.9,2.7,6.9,green
2017,170912,T1,0.9,4.6,1.087,0.045,3.4,10.4,138,6.9,5.9,18.1,2.9,3,5.5,green
2017,170919,T1,0.8,4.4,0.639,0.034,3.8,3.5,151,6.8,6.5,21.9,2.1,2.8,7.5,green
2017,170927,T1,1.2,4.3,0.987,0.054,3.3,2.3,181,6.8,5.7,15.5,3.4,2.7,5,diatom
2017,171010,T1,1.1,4.5,1.367,0.08,3.2,2.2,202,6.9,6.1,16.4,3,3.1,4.1,diatom
2017,171017,T1,1.1,3.6,1.38,0.059,2.8,2.5,217,7,6.3,14.5,2.5,3,4.1,green
2017,171024,T1,1.2,3.9,1.216,0.069,3.2,2.3,201,6.8,6.5,14.8,3.3,3.3,5.3,green
2017,171031,T1,1.2,3.9,1.216,0.069,3.2,2.3,201,6.6,7.8,14.7,2.7,2.1,4.4,green
2017,171107,T1,1.3,4.3,1.733,0.074,3.1,2.8,235,7,7.7,13.4,2.3,2.5,3.3,green
2017,171113,T1,1.7,4.2,1.548,0.072,3.3,3.2,225,6.6,8,12.5,3.1,1.9,3.1,green
2017,171121,T1,2,4.8,2.256,0.135,3.8,5.5,241,7.3,8.8,11,5.2,1.9,5.1,diatom
2017,171127,T1,2.1,4.8,3.259,0.178,3.8,4.4,238,6.6,7.5,11.5,2.8,2,5.2,diatom
2017,171205,T1,2.5,4.8,2.817,0.168,3.7,5.5,307,7.1,9.4,8.7,4.7,2,7.8,diatom
2017,171212,T1,2.7,4.9,3.287,0.211,3.7,11.1,338,7.1,11.1,7.2,3,2.1,8.1,diatom
2017,171218,T1,2.6,4.9,3.223,0.155,3.8,8.6,274,6.8,11.3,6.3,3.2,1.8,9.3,diatom
2017,171226,T1,2.7,5.5,2.683,0.127,4.5,5,246,6.8,11.5,6.3,4,1.7,8.1,diatom
2018,180102,T1,3,5.3,2.791,0.171,4.2,6.4,226,6.7,12.1,5,3.9,1.9,9.2,diatom
2018,180116,T1,2.4,5.1,2.724,0.166,3.7,5.8,240,6.9,13,6.4,2,2,10.6,diatom
2018,180122,T1,2.6,4.8,2.474,0.166,4,5.6,219,6.8,12.8,3.9,1.7,2,10.5,diatom
2018,180129,T1,2.6,4.8,2.474,0.166,4,5.6,219,6.8,11.2,2.7,2.9,1.9,9.7,diatom
2018,180206,T1,3,5.1,2.422,0.199,4.1,7.7,242,6.7,13.6,1.5,2.7,2.1,9.7,diatom
2018,180213,T1,3.3,5.6,2.926,0.181,4.3,9.5,220,6.9,13.5,2.5,3,1.6,10.8,diatom
2018,180221,T1,3.5,6.6,2.748,0.164,4.8,8.8,235,7,13.3,2.9,3.2,1.8,13.2,diatom
2018,180227,T1,3.5,6.6,2.748,0.164,4.8,8.8,235,7.1,12.9,8.3,3.3,1.9,15.7,diatom
2018,180306,T1,4,6.9,2.52,0.192,5.5,14.3,275,6.9,12.6,6.5,4,1.3,17,diatom
2018,180313,T1,4,6.9,2.52,0.192,5.5,14.3,275,7.2,12,8.1,2.4,1.6,17,diatom
2018,180320,T1,2.5,5.3,2.565,0.115,4.1,6.3,264,7.1,11.4,7.1,4.3,1.3,13,diatom
2018,180327,T1,1.6,4.6,2.13,0.08,3.4,7.2,245,7.3,11,10.5,4,1.5,11.2,diatom
2018,180403,T1,3.8,6.5,1.914,0.092,4.7,13.1,203,7.4,9,15,3,2,6.7,diatom
2018,180410,T1,2.4,4.9,1.676,0.087,3.6,6.8,185,7,10.3,11.8,3.3,1.9,8,diatom
2018,180416,T1,2.2,5,1.603,0.083,3.8,7.1,162,7.6,10.6,12.9,3,2,9.7,diatom
2018,180424,T1,1.7,5.1,1.569,0.069,3.6,8.5,144,7.3,9.4,11.8,1.6,1.5,5.1,diatom
2018,180430,T1,1.7,5.1,1.569,0.069,3.6,8.5,144,7.6,9.6,12.3,2.2,1.7,9.3,diatom
2018,180509,T1,1.7,5.4,1.65,0.09,4,7.4,171,7.3,9.4,12.8,3.3,1.9,4.1,diatom
2018,180514,T1,2.1,5.8,1.466,0.098,4.3,9,190,7,8.8,15.1,6.1,2.4,2.4,diatom
2018,180521,T1,1.8,6.7,2.066,0.086,5.1,3.7,236,7.4,8.4,15,3.7,1.7,1.9,others
2018,180528,T1,1.7,7.5,2.315,0.081,6.2,2.7,245,7.4,8.4,17.4,2.8,1.6,2.7,diatom
2018,180604,T1,1.8,7,1.384,0.073,5.5,5,168,7.4,9.5,16.3,2,1.2,5.9,diatom
2018,180611,T1,1.5,3.2,1.457,0.073,5.1,4.1,158,7.1,7.4,15.4,2.4,2.8,1.8,diatom
2018,180619,T1,1.9,7.1,1.347,0.089,5.8,5.5,169,7.8,10.8,16.2,2.6,2.8,2.1,diatom
2018,180625,T1,2.5,7.2,1.12,0.108,5.5,7.2,157,7.4,6.4,17.3,1.8,2.9,3.1,diatom
2018,180702,T1,1.6,5.6,1.885,0.089,3.9,10.4,139,7.5,7.1,19.6,3.6,1,5.9,green
2018,180709,T1,1.3,4.8,1.324,0.069,3.8,5.7,147,6.8,6.5,16,1.5,2.2,3.2,diatom
2018,180716,T1,3.2,7.3,1.175,0.101,5.6,8.6,156,6.6,6.3,19.6,0.8,4,2.3,green
2018,180723,T1,2.1,7.2,1.298,0.106,5.3,4.7,178,6.8,7.8,19.9,0.9,2.7,2.5,blue
2018,180730,T1,2.1,7.2,1.298,0.106,5.3,4.7,178,6.6,6.7,19.3,1.1,2.5,3.1,blue
2018,180806,T1,2.7,6.1,0.982,0.134,4.9,3,176,6.8,6.5,19.4,2.4,2.5,2.9,green
2018,180813,T1,2,6,0.825,0.089,5,2,182,6.3,5.1,20.1,2.1,3.5,2.4,green
2018,180820,T1,1.6,5.8,0.729,0.073,4.4,8.3,183,6.1,5.5,17.7,3.2,2.9,4.2,green
2018,180827,T1,1.6,5.8,0.729,0.073,4.4,8.3,183,6.6,5.7,20.4,5.9,1.3,2.8,diatom
2018,180904,T1,2.2,4.3,1.342,0.057,3.6,5.6,127,7,7.2,20.3,6.8,1.7,6.4,diatom
2018,180910,T1,1.4,4.2,1.465,0.077,3.4,5,194,6.6,7.6,22.1,3.7,1.2,4.7,diatom
2018,180917,T1,1.6,4.1,1.152,0.063,2.4,3.6,171,6.2,7,20.2,2.4,1.8,4.2,diatom
2018,180927,T1,1.6,4.1,1.152,0.063,2.4,3.6,171,6.2,6.3,18.7,0.9,2,3.6,diatom
2018,181001,T1,1.3,4.1,1.357,0.064,3.1,1.6,180,6.7,7.6,17.8,3.7,1.8,6.3,diatom
2018,181008,T1,1.2,2.6,1.672,0.063,2.9,7,144,6.6,7.8,17.8,6.5,1.4,3.5,diatom
2018,181015,T1,1.3,4.4,1.746,0.063,3.1,1.8,167,7.1,8.5,17.3,3.2,1.7,5,diatom
2018,181022,T1,2.4,3.8,1.871,0.053,3.7,2.5,179,6.7,8.8,17.4,0.9,2.2,4.8,diatom
2018,181029,T1,0.9,3.8,1.993,0.087,3.7,2.7,195,6.7,7.9,16,3.9,2.2,6.2,diatom
2018,181105,T1,1.5,4.5,2.47,0.125,3.6,5.8,215,7.1,8.2,16.4,1.3,2.5,5.2,green
2018,181113,T1,1.5,3.5,1.317,0.074,3.8,3.8,199,6.3,7.9,14.4,1.7,2.2,5.4,diatom
2018,181119,T1,1.9,4.4,1.608,0.059,3.9,4.8,114,7.1,8.8,14.5,1,2,5.3,diatom
2018,181126,T1,1.6,4.4,1.915,0.071,4.3,3.1,224,7,9.5,14,1.6,2,3.5,diatom
2018,181203,T1,2.8,5,1.796,0.077,4.5,6.5,206,6.7,7.6,12.7,0.6,2.8,3.1,diatom
2018,181211,T1,2.1,3.8,1.851,0.087,4,18.2,232,7.2,8.6,10.5,2.8,1.5,3.8,diatom
2018,181217,T1,1.9,4,2.063,0.051,3.6,3.9,219,7.3,9.2,9.8,1.9,1.8,2.9,diatom
2018,181226,T1,1.9,4,2.063,0.051,3.6,3.9,219,7.2,10,9,1.2,2.8,1.8,diatom
2019,190102,T1,1.8,4.3,4.164,0.076,3.4,4.7,213,7.5,10.8,7.1,1.2,2.5,4.6,diatom
2019,190108,T1,1.8,4.3,4.164,0.076,3.4,4.7,213,7.6,10.3,6.3,1.3,2.8,2.4,diatom
2019,190114,T1,1.9,4.8,4.943,0.118,4.1,3.4,226,7.4,11.4,6.5,1.3,2.6,2.9,diatom
2019,190121,T1,1.9,4.8,4.943,0.118,4.1,3.4,226,7.4,11.6,5.9,0.8,2.5,3.5,diatom
2019,190128,T1,2.4,5,1.983,0.103,4.3,4.8,213,7.2,11.8,5.7,0.9,2.4,6.5,diatom
2019,190207,T1,2.5,5.9,2.289,0.119,3.9,35.9,220,7,12,5.4,1.2,2.5,3.9,diatom
2019,190211,T1,2.5,5.9,2.289,0.119,3.9,35.9,220,7.5,12.4,5.1,2.3,2,6.8,diatom
2019,190218,T1,2.5,6.4,1.998,0.185,5.6,59.5,178,7.7,12.3,4.9,1.4,2.2,6.3,diatom
2019,190226,T1,2.5,6.4,1.998,0.185,5.6,59.5,178,7.8,12.4,6,2.2,2.3,4.5,diatom
2019,190305,T1,3.6,7.5,2.054,0.152,5.4,27.9,254,8,12.3,6.9,0.8,2.8,7.7,diatom
2019,190311,T1,2.1,6.2,1.473,0.101,4.4,16.5,208,7.8,12,7.1,0.8,2.7,6.1,diatom
2019,190319,T1,4.3,5.9,1.49,0.088,3.9,19,210,7.7,11.7,8.4,1.4,3,4.3,diatom
2019,190325,T1,2.4,4.8,1.204,0.068,3.3,12,261,7.8,11.6,8.4,1.4,2.5,3.5,diatom
2019,190401,T1,2.6,5.4,1.207,0.121,4.3,8.4,248,7.7,11.6,9.2,1,2.5,4.6,diatom
2019,190408,T1,3.1,6.4,1.885,0.142,4.8,15.2,246,7.8,11.3,10.5,5.7,2.4,10.5,diatom
2019,190415,T1,3.1,6.4,1.885,0.142,4.8,15.2,246,7.6,11.5,10.6,1.5,3.6,3.4,diatom
2019,190422,T1,4.2,5.9,1.573,0.114,4.4,8.8,240,7.5,10.4,12.7,3.2,3.5,4.1,diatom
2019,190430,T1,4.2,5.9,1.573,0.114,4.4,8.8,240,7.4,10.2,12,1.2,3.5,3.5,diatom
2019,190507,T1,3.4,7.5,1.397,0.116,5.2,8,222,7.7,10.2,12.4,1.7,2.8,4,others
2019,190514,T1,4.2,9.8,1.346,0.203,6.6,10.7,161,7.5,9.6,15.1,5.2,2.3,4.1,diatom
2019,190520,T1,3.8,7.8,1.317,0.144,5.1,13.6,168,7.6,9.3,12.7,0.8,2.5,5.4,diatom
2019,190528,T1,2.9,8.5,1.692,0.128,5.6,10.1,167,7.4,9.6,15.2,1.4,2.8,9,diatom
2019,190603,T1,2.3,6.9,1.193,0.139,4.7,11.3,146,7.3,8.8,15.1,6.2,2.8,5.6,diatom
2019,190610,T1,1.2,8.7,1.427,0.082,4.1,8.7,141,7.5,9.2,15.8,1.3,2.8,7.5,diatom
2019,190618,T1,1.3,6.2,1.457,0.07,4.2,9.2,151,7.1,8.1,15.7,0.2,2,2.9,green
2019,190624,T1,1.1,7.4,1.66,0.073,6,16,132,7.2,8,17.4,4.1,3.1,4.5,diatom
2019,190702,T1,2.5,5.9,1.602,0.056,4.3,13.5,121,7.4,7.6,16.9,1,3.4,5.8,green
2019,190708,T1,1.5,5.3,1.064,0.052,4.8,13.3,122,7.1,7.6,19,2.7,3.2,3,diatom
2019,190715,T1,1.4,5,0.994,0.046,4.2,11.5,138,7.1,7.4,18.9,3.8,3.1,3.1,blue
2019,190724,T1,1.1,4,0.948,0.032,4.2,10.2,103,7.1,6.9,18.9,3.3,1.4,3.7,blue
2019,190729,T1,1.1,4,0.948,0.032,4.2,10.2,103,6.7,6.3,19.9,1.9,2,2.3,blue
2019,190805,T1,1.5,5.6,0.696,0.052,4.8,8.6,120,7,6.1,23.2,3.5,2,3.6,blue
2019,190812,T1,1.4,5.8,0.849,0.061,5.2,11.4,131,7.2,6.1,17.1,0.7,1.8,3.6,green
2019,190819,T1,1.1,4.2,0.72,0.056,4,7.8,126,7.2,6.6,20,2.1,3,4.5,diatom
2019,190826,T1,1.4,4.6,1.047,0.046,4.4,14.3,129,6.9,6,18.4,0.2,2.7,2.9,diatom
2019,190902,T1,1.1,5.5,1.258,0.077,3,9.4,139,7.7,6.6,17.7,0.4,1.9,3.2,diatom
2019,190909,T1,1.5,4.3,0.949,0.083,2.9,5.3,156,7.5,6.5,19.3,1.4,2.4,3.1,diatom
2019,190916,T1,1.5,4.3,0.949,0.083,2.9,5.3,156,6.8,6.3,20.2,0.8,2,3.9,diatom
2019,190923,T1,1.6,3.2,1.622,0.054,3.1,5.7,140,7.5,5.9,18.4,4.1,2.1,2.3,diatom
2019,191001,T1,0.9,3.1,2.02,0.1,1.9,7.3,140,8.3,6.9,20.3,2.1,2.9,4.4,diatom
2019,191014,T1,1.6,3.5,1.56,0.069,2.1,4.2,186,7.3,8.2,20.4,3.5,2.7,5,diatom
2019,191021,T1,2,4.1,1.518,0.083,3.7,9.2,196,7.1,7.9,20.1,3.3,2.8,5,diatom
2019,191029,T1,1.2,3.6,1.698,0.079,3.3,2.9,192,6.7,7.6,17.4,1.4,2.8,7.6,diatom
2019,191104,T1,1.5,4.2,1.543,0.108,3.7,3.9,193,6.7,7,17.3,0.6,3,6.3,diatom
2019,191111,T1,1.4,4.2,1.894,0.12,3.6,2.6,226,7.3,7.1,16.7,0.1,3,5.9,diatom
2019,191118,T1,1.7,4,2.483,0.121,3.5,3.6,192,7,8.7,15.3,0.6,2.3,7.7,diatom
2019,191125,T1,3.5,3.9,1.924,0.087,3.6,2.8,219,7.7,9.1,14.1,1.2,2.8,6.4,diatom
2019,191202,T1,2.2,3.9,1.513,0.111,3.7,3.7,175,7.8,9,12.9,0.9,2.8,3.9,diatom
2019,191209,T1,2.2,3.9,1.513,0.111,3.7,3.7,175,7.3,8.9,11.8,0.8,2.8,5.4,diatom
2019,191216,T1,2.2,3.9,1.513,0.111,3.7,3.7,175,7.1,9.4,11.5,0.6,2.2,5.5,diatom
2019,191223,T1,2.2,3.9,1.513,0.111,3.7,3.7,175,7.2,9,10.1,0.9,2,1.9,diatom
2019,191230,T1,2.2,3.9,1.513,0.111,3.7,3.7,175,7,8.4,9.6,13.2,1.9,1.8,diatom
2020,200106,T1,1.3,3.6,1.331,0.042,2.8,4.5,382,7.2,9.3,8.9,0.7,2.5,2.2,others
